title;imdb;mid;trailer;date;directors;actors;poster;netflix_id;runtime;rating;descr;Action;Adventure;Animation;Comedy;Drama;Family;Fantasy;Mystery;Romance;Science Fiction;Thriller;class1;class2;class3
300;tt0416449;/m/07f_t4;['http://www.youtube.com/watch?v=wDiUG52ZyHQ'];09/12/2006;Zack Snyder;Gerard Butler, Lena Headey, Dominic West, David Wenham;http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg;['70056440'];117;7.7;King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.;1;1;0;0;0;0;1;0;0;0;0;0.268376068;0;0.0041841
2012;tt1190080;/m/047vnkj;[];11/11/2009;Roland Emmerich;John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton;http://ia.media-imdb.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg;['70108779'];158;5;A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.;1;1;0;0;1;0;0;0;0;1;1;0.601709402;0.375;0.594142259
2046;tt0212712;/m/01f8f7;['http://www.sonyclassics.com/2046/trailer300k.html'];20/05/2004;Kar Wai Wong;Tony Chiu Wai Leung, Li Gong, Faye Wong, Takuya Kimura;http://ia.media-imdb.com/images/M/MV5BMzY1MjkzNDY4MF5BMl5BanBnXkFtZTcwMzE1NzAzMQ@@._V1_SX300.jpg;['70042371'];129;7.1;The women who enter a science fiction author's life, over the course of a few years, after the author loses the woman he considers his one true love.;0;0;0;0;1;0;1;0;1;1;0;0.194871795;0.465909091;0.025104603
12 Angry Men;tt0050083;;http://www.totaleclips.com/Player/Bounce.aspx?eclipid=e116093&bitrateid=472&vendorid=102&type=.mp4;1957;Sidney Lumet;Martin Balsam, John Fiedler, Lee J. Cobb, E.G. Marshall;http://ia.media-imdb.com/images/M/MV5BODQwOTc5MDM2N15BMl5BanBnXkFtZTcwODQxNTEzNA@@._V1_.jpg;60004251;96;8.9;A dissenting juror in a murder trial slowly manages to convince the others that the case is not as obviously clear as it seemed in court.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
12 Rounds;tt1160368;/m/03hklr_;[];19/03/2009;Renny Harlin;John Cena, Aidan Gillen, Ashley Scott, Steve Harris;http://ia.media-imdb.com/images/M/MV5BMTU1MzM1ODkxM15BMl5BanBnXkFtZTcwNDY1MTA0Mg@@._V1_SX300.jpg;['70108016'];108;4.5;Detective Danny Fisher discovers his girlfriend has been kidnapped by a ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.;1;0;0;0;0;0;0;0;0;0;1;0.295726496;0;0.694560669
12 Years a Slave;tt2024544;;http://video-http.media-imdb.com/MV5BMTkxNDgzNjk3N15BMTFeQW1wNF5BbWU4MDEwMDg0NzAx.mp4?Expires=1422394410&Signature=cqNuwlM-WIAq94KpNzD3sQqqI2Gcyy5BY4Jl43b~HhlrMJQMZ9V~-nw~HHy4YpwTD0SKY9jXL7NdfaOoHJAL46GIv7Zgeu~4dm7AkcDW-ZHAXiCx2LdRM7WWSm7JPsfpDUQYrXKULQSK6Q507QUGF3oMJtMhtyIhsqt8EHxBaTE_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;2013;Steve McQueen;Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt;http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_.jpg;;134;8.2;In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.;0;0;0;0;1;0;0;0;0;0;0;0;0.31;0
2001: A Space Odyssey;tt0062622;;http://video-http.media-imdb.com/MV5BZmNkMTg4ZWEtOGQwMC00OTU3LWIyZTAtMDNkOTUzODNiMzk0XkExMV5BbXA0XkFpbWRiLWV0cy10cmFuc2NvZGU@.mp4?Expires=1422399720&Signature=EEcABLL6lA8KKRkvj0No52WnC0Q8z~QVy2pkCOuapgMI7MIoZjV1raVDkCWcUN-5NFGSZU3014vfY-30RYiFAUzzkoczHgQX~OltyLl1DDjpOOAic8mLxbLLprg905VeIdz-2RZtkEwFG6PQbiMD3VjioeRaVJySoylZrxS8C1Q_&Key-Pair-Id=APKAILW5I44IHKUN2DYA;1968;Stanley Kubrick;Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter;http://ia.media-imdb.com/images/M/MV5BNDYyMDgxNDQ5Nl5BMl5BanBnXkFtZTcwMjc1ODg3OA@@._V1_.jpg;207856;160;8.3;Humanity finds a mysterious, obviously artificial, object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.;0;1;0;0;0;0;0;1;0;1;1;0.38;0;1
2009: Lost Memories;tt0294252;/m/05j44s;[];01/02/2002;Si-myung Lee;Dong-gun Jang, Tôru Nakamura, Jin-ho Seo, Goo Shin;http://ia.media-imdb.com/images/M/MV5BMjAyODMzMTYwMF5BMl5BanBnXkFtZTcwNDU5MjcyMQ@@._V1_SX300.jpg;['70015755'];136;6.5;A failed assassination attempt in Harbin, China in 1909 changes the course of history. Now two JBI agents must find the connections between it and an ancient Korean artifact.;1;0;0;0;1;0;0;1;0;1;1;0.384615385;0.375;0.983263598
21 Jump Street;tt1232829;/m/0bq8tmw;['http://youtu.be/ZirgAYBcOgo'];12/03/2012;Phil Lord, Christopher Miller;Jonah Hill, Channing Tatum, Brie Larson, Dave Franco;http://ia.media-imdb.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg;['70208247'];90;7.1;A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.;1;0;0;1;0;0;0;0;0;0;0;0.094017094;0.5625;0
24 Hour Party People;tt0274309;/m/01_bnz;['http://www.youtube.com/watch?v=A1Qz2x94q6A'];13/02/2002;Michael Winterbottom;Steve Coogan, John Thomson, Paul Popplewell, Lennie James;http://ia.media-imdb.com/images/M/MV5BMTM3ODYwOTMwOF5BMl5BanBnXkFtZTYwODQ1Mzk5._V1_SX300.jpg;['60022997'];117;7.2;In 1976, Tony Wilson sets up Factory Records and brings Manchester's music to the world.;0;0;0;1;1;0;0;0;0;0;0;0;0.659090909;0
3 Idiots;tt1187043;;;2009;Rajkumar Hirani;Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor;http://ia.media-imdb.com/images/M/MV5BMTMyOTg0ODQ1OF5BMl5BanBnXkFtZTcwNjc0NTMwNQ@@._V1_.jpg;70121522;170;8.5;"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".";0;0;0;1;1;0;0;0;1;0;0;0.02;0.98;0
44 Inch Chest;tt0914837;/m/04jkjnv;[];08/10/2009;Malcolm Venville;Ray Winstone, Ian McShane, John Hurt, Tom Wilkinson;http://ia.media-imdb.com/images/M/MV5BMTcyMTQwNzcxNF5BMl5BanBnXkFtZTcwMTI3NzQyMw@@._V1_SX300.jpg;['70117592'];95;6.2;A jealous husband and his friends plot the kidnapping of his wife's lover with the intention of restoring his wounded ego.;0;0;0;0;1;0;0;0;0;0;1;0;0.318181818;0
